,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
MSA,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
ATLANTA,1984Q4,"$92,559","$67,164","$25,394",27.4%,0.537,0.327
ATLANTA,1985Q1,"$92,880","$67,876","$25,003",26.9%,0.539,0.324
ATLANTA,1985Q2,"$92,928","$68,491","$24,437",26.3%,0.539,0.319
ATLANTA,1985Q3,"$97,008","$69,069","$27,939",28.8%,0.563,0.368
ATLANTA,1985Q4,"$98,530","$69,601","$28,929",29.4%,0.571,0.384
ATLANTA,1986Q1,"$99,832","$70,116","$29,716",29.8%,0.579,0.397
ATLANTA,1986Q2,"$101,380","$70,647","$30,733",30.3%,0.588,0.414
ATLANTA,1986Q3,"$102,594","$71,265","$31,329",30.5%,0.595,0.425
ATLANTA,1986Q4,"$104,131","$72,038","$32,093",30.8%,0.604,0.438
ATLANTA,1987Q1,"$106,226","$72,998","$33,229",31.3%,0.616,0.456
ATLANTA,1987Q2,"$107,889","$74,080","$33,809",31.3%,0.626,0.467
ATLANTA,1987Q3,"$109,303","$75,167","$34,136",31.2%,0.634,0.475
ATLANTA,1987Q4,"$110,201","$76,145","$34,056",30.9%,0.639,0.477
ATLANTA,1988Q1,"$111,793","$76,957","$34,836",31.2%,0.648,0.491
ATLANTA,1988Q2,"$113,424","$77,600","$35,824",31.6%,0.658,0.508
ATLANTA,1988Q3,"$113,792","$78,152","$35,640",31.3%,0.660,0.508
ATLANTA,1988Q4,"$114,019","$78,681","$35,338",31.0%,0.661,0.507
ATLANTA,1989Q1,"$115,039","$79,269","$35,769",31.1%,0.667,0.516
ATLANTA,1989Q2,"$115,308","$79,871","$35,437",30.7%,0.669,0.513
ATLANTA,1989Q3,"$116,423","$80,502","$35,921",30.9%,0.675,0.523
ATLANTA,1989Q4,"$117,366","$81,157","$36,210",30.9%,0.681,0.529
ATLANTA,1990Q1,"$117,065","$81,743","$35,323",30.2%,0.679,0.516
ATLANTA,1990Q2,"$116,553","$82,434","$34,119",29.3%,0.676,0.501
ATLANTA,1990Q3,"$116,474","$83,137","$33,337",28.6%,0.675,0.491
ATLANTA,1990Q4,"$115,836","$83,833","$32,003",27.6%,0.672,0.474
ATLANTA,1991Q1,"$115,885","$84,525","$31,360",27.1%,0.672,0.467
ATLANTA,1991Q2,"$116,530","$85,161","$31,370",26.9%,0.676,0.469
ATLANTA,1991Q3,"$116,792","$85,736","$31,056",26.6%,0.677,0.467
ATLANTA,1991Q4,"$116,920","$86,233","$30,687",26.2%,0.678,0.464
ATLANTA,1992Q1,"$117,031","$86,719","$30,312",25.9%,0.679,0.462
ATLANTA,1992Q2,"$117,387","$87,124","$30,263",25.8%,0.681,0.464
ATLANTA,1992Q3,"$118,721","$87,622","$31,100",26.2%,0.688,0.479
ATLANTA,1992Q4,"$118,894","$88,313","$30,581",25.7%,0.689,0.472
ATLANTA,1993Q1,"$119,444","$89,171","$30,274",25.3%,0.693,0.468
ATLANTA,1993Q2,"$121,046","$90,329","$30,717",25.4%,0.702,0.476
ATLANTA,1993Q3,"$122,313","$91,557","$30,756",25.1%,0.709,0.479
ATLANTA,1993Q4,"$123,514","$92,719","$30,796",24.9%,0.716,0.482
ATLANTA,1994Q1,"$125,438","$93,725","$31,713",25.3%,0.727,0.499
ATLANTA,1994Q2,"$126,417","$94,565","$31,852",25.2%,0.733,0.504
ATLANTA,1994Q3,"$127,707","$95,302","$32,405",25.4%,0.741,0.516
ATLANTA,1994Q4,"$129,414","$95,994","$33,420",25.8%,0.751,0.535
ATLANTA,1995Q1,"$130,865","$96,759","$34,106",26.1%,0.759,0.551
ATLANTA,1995Q2,"$131,127","$97,492","$33,634",25.7%,0.760,0.547
ATLANTA,1995Q3,"$132,300","$98,335","$33,965",25.7%,0.767,0.556
ATLANTA,1995Q4,"$133,796","$99,357","$34,439",25.7%,0.776,0.567
ATLANTA,1996Q1,"$135,375","$100,549","$34,825",25.7%,0.785,0.576
ATLANTA,1996Q2,"$136,537","$101,918","$34,619",25.4%,0.792,0.576
ATLANTA,1996Q3,"$137,477","$103,290","$34,187",24.9%,0.797,0.572
ATLANTA,1996Q4,"$138,889","$104,543","$34,346",24.7%,0.805,0.578
ATLANTA,1997Q1,"$139,934","$105,570","$34,365",24.6%,0.812,0.582
ATLANTA,1997Q2,"$141,575","$106,432","$35,143",24.8%,0.821,0.599
ATLANTA,1997Q3,"$142,898","$107,184","$35,714",25.0%,0.829,0.613
ATLANTA,1997Q4,"$144,861","$107,901","$36,960",25.5%,0.840,0.638
ATLANTA,1998Q1,"$146,896","$108,681","$38,215",26.0%,0.852,0.665
ATLANTA,1998Q2,"$149,621","$109,475","$40,146",26.8%,0.868,0.704
ATLANTA,1998Q3,"$151,411","$110,338","$41,073",27.1%,0.878,0.725
ATLANTA,1998Q4,"$154,269","$111,311","$42,958",27.8%,0.895,0.763
ATLANTA,1999Q1,"$157,044","$112,429","$44,615",28.4%,0.911,0.798
ATLANTA,1999Q2,"$159,691","$113,593","$46,097",28.9%,0.926,0.830
ATLANTA,1999Q3,"$162,382","$114,772","$47,610",29.3%,0.942,0.862
ATLANTA,1999Q4,"$165,435","$115,911","$49,524",29.9%,0.959,0.901
ATLANTA,2000Q1,"$168,676","$116,857","$51,819",30.7%,0.978,0.946
ATLANTA,2000Q2,"$172,435","$117,933","$54,503",31.6%,1.000,1.000
ATLANTA,2000Q3,"$174,487","$119,068","$55,419",31.8%,1.012,1.023
ATLANTA,2000Q4,"$176,845","$120,329","$56,516",32.0%,1.026,1.050
ATLANTA,2001Q1,"$179,225","$121,960","$57,264",32.0%,1.039,1.075
ATLANTA,2001Q2,"$181,443","$123,421","$58,023",32.0%,1.052,1.096
ATLANTA,2001Q3,"$183,790","$124,851","$58,939",32.1%,1.066,1.119
ATLANTA,2001Q4,"$185,458","$126,180","$59,278",32.0%,1.076,1.130
ATLANTA,2002Q1,"$187,193","$127,201","$59,991",32.0%,1.086,1.145
ATLANTA,2002Q2,"$188,483","$128,261","$60,222",32.0%,1.093,1.153
ATLANTA,2002Q3,"$190,090","$129,203","$60,887",32.0%,1.102,1.170
ATLANTA,2002Q4,"$191,719","$130,021","$61,698",32.2%,1.112,1.190
ATLANTA,2003Q1,"$193,665","$130,806","$62,859",32.5%,1.123,1.218
ATLANTA,2003Q2,"$194,772","$131,712","$63,060",32.4%,1.130,1.227
ATLANTA,2003Q3,"$195,773","$133,090","$62,683",32.0%,1.135,1.224
ATLANTA,2003Q4,"$197,491","$135,255","$62,235",31.5%,1.145,1.219
ATLANTA,2004Q1,"$199,631","$138,337","$61,294",30.7%,1.158,1.203
ATLANTA,2004Q2,"$201,678","$142,120","$59,558",29.5%,1.170,1.173
ATLANTA,2004Q3,"$203,101","$146,073","$57,028",28.1%,1.178,1.127
ATLANTA,2004Q4,"$205,681","$149,728","$55,953",27.2%,1.193,1.110
ATLANTA,2005Q1,"$209,223","$152,709","$56,515",27.0%,1.213,1.125
ATLANTA,2005Q2,"$212,476","$155,255","$57,221",26.9%,1.232,1.144
ATLANTA,2005Q3,"$213,321","$157,611","$55,710",26.1%,1.237,1.120
ATLANTA,2005Q4,"$216,469","$160,086","$56,383",26.0%,1.255,1.139
ATLANTA,2006Q1,"$220,583","$162,951","$57,632",26.1%,1.279,1.172
ATLANTA,2006Q2,"$221,907","$165,822","$56,085",25.3%,1.287,1.147
ATLANTA,2006Q3,"$222,007","$168,480","$53,527",24.1%,1.287,1.101
ATLANTA,2006Q4,"$223,764","$170,652","$53,112",23.7%,1.298,1.098
ATLANTA,2007Q1,"$226,005","$172,244","$53,760",23.8%,1.311,1.118
ATLANTA,2007Q2,"$225,988","$173,540","$52,448",23.2%,1.311,1.096
ATLANTA,2007Q3,"$222,807","$175,131","$47,676",21.4%,1.292,1.000
ATLANTA,2007Q4,"$219,338","$177,583","$41,754",19.0%,1.272,0.879
ATLANTA,2008Q1,"$214,584","$181,199","$33,385",15.6%,1.244,0.705
ATLANTA,2008Q2,"$207,577","$185,252","$22,325",10.8%,1.204,0.472
ATLANTA,2008Q3,"$201,928","$188,784","$13,144",6.5%,1.171,0.278
ATLANTA,2008Q4,"$194,249","$184,537","$9,712",5.0%,1.127,0.072
ATLANTA,2009Q1,"$182,906","$173,760","$9,145",5.0%,1.061,0.068
ATLANTA,2009Q2,"$177,551","$168,673","$8,878",5.0%,1.030,0.066
ATLANTA,2009Q3,"$180,020","$166,893","$13,127",7.3%,1.044,0.098
ATLANTA,2009Q4,"$182,811","$165,569","$17,242",9.4%,1.060,0.128
ATLANTA,2010Q1,"$180,732","$165,348","$15,383",8.5%,1.048,0.114
ATLANTA,2010Q2,"$179,580","$166,174","$13,406",7.5%,1.041,0.100
ATLANTA,2010Q3,"$175,694","$166,909","$8,785",5.0%,1.019,0.060
ATLANTA,2010Q4,"$169,833","$161,341","$8,492",5.0%,0.985,0.058
ATLANTA,2011Q1,"$172,380","$163,262","$9,118",5.3%,1.000,0.062
ATLANTA,2011Q2,"$171,318","$162,752","$8,566",5.0%,0.994,0.042
ATLANTA,2011Q3,"$163,305","$155,140","$8,165",5.0%,0.947,0.040
ATLANTA,2011Q4,"$149,548","$142,071","$7,477",5.0%,0.867,0.037
ATLANTA,2012Q1,"$143,682","$136,498","$7,184",5.0%,0.833,0.035
ATLANTA,2012Q2,"$146,173","$136,946","$9,227",6.3%,0.848,0.045
ATLANTA,2012Q3,"$154,614","$137,398","$17,216",11.1%,0.897,0.085
ATLANTA,2012Q4,"$160,742","$138,029","$22,713",14.1%,0.932,0.112
ATLANTA,2013Q1,"$166,825","$138,952","$27,872",16.7%,0.967,0.138
ATLANTA,2013Q2,"$175,154","$140,041","$35,114",20.0%,1.016,0.175
ATLANTA,2013Q3,"$183,773","$141,064","$42,710",23.2%,1.066,0.213
ATLANTA,2013Q4,"$190,490","$141,792","$48,698",25.6%,1.105,0.244
ATLANTA,2014Q1,"$193,343","$142,078","$51,264",26.5%,1.121,0.257
ATLANTA,2014Q2,"$194,444","$142,161","$52,282",26.9%,1.128,0.263
ATLANTA,2014Q3,"$194,349","$142,360","$51,989",26.8%,1.127,0.262
ATLANTA,2014Q4,"$199,570","$143,021","$56,550",28.3%,1.157,0.286
ATLANTA,2015Q1,"$203,018","$144,323","$58,695",28.9%,1.177,0.298
ATLANTA,2015Q2,"$204,497","$146,034","$58,463",28.6%,1.186,0.297
ATLANTA,2015Q3,"$206,349","$147,755","$58,593",28.4%,1.197,0.299
ATLANTA,2015Q4,"$210,903","$149,113","$61,789",29.3%,1.223,0.316
ATLANTA,2016Q1,"$215,028","$149,909","$65,119",30.3%,1.247,0.335
ATLANTA,2016Q2,"$217,141","$150,110","$67,032",30.9%,1.259,0.346
ATLANTA,2016Q3,"$217,536","$150,064","$67,472",31.0%,1.262,0.349
ATLANTA,2016Q4,"$223,375","$150,066","$73,308",32.8%,1.295,0.380
ATLANTA,2017Q1,"$226,728","$150,221","$76,507",33.7%,1.315,0.397
ATLANTA,2017Q2,"$229,219","$150,740","$78,479",34.2%,1.329,0.408
ATLANTA,2017Q3,"$229,569","$151,436","$78,133",34.0%,1.331,0.407
ATLANTA,2017Q4,"$235,040","$152,245","$82,795",35.2%,1.363,0.433
ATLANTA,2018Q1,"$241,001","$154,893","$86,108",35.7%,1.398,0.451
ATLANTA,2018Q2,"$242,136","$157,670","$84,465",34.9%,1.404,0.444
BALTIMORE,1984Q4,"$110,989","$59,816","$51,174",46.1%,0.536,0.433
BALTIMORE,1985Q1,"$112,982","$60,309","$52,673",46.6%,0.546,0.446
BALTIMORE,1985Q2,"$114,311","$61,052","$53,259",46.6%,0.552,0.453
BALTIMORE,1985Q3,"$116,022","$61,908","$54,113",46.6%,0.560,0.461
BALTIMORE,1985Q4,"$117,381","$62,797","$54,584",46.5%,0.567,0.467
BALTIMORE,1986Q1,"$120,222","$63,744","$56,477",47.0%,0.581,0.485
BALTIMORE,1986Q2,"$122,858","$64,546","$58,313",47.5%,0.593,0.502
BALTIMORE,1986Q3,"$126,871","$65,305","$61,566",48.5%,0.613,0.532
BALTIMORE,1986Q4,"$130,679","$66,037","$64,642",49.5%,0.631,0.560
BALTIMORE,1987Q1,"$133,954","$66,660","$67,293",50.2%,0.647,0.584
BALTIMORE,1987Q2,"$138,346","$67,399","$70,947",51.3%,0.668,0.617
BALTIMORE,1987Q3,"$142,803","$68,164","$74,639",52.3%,0.690,0.651
BALTIMORE,1987Q4,"$145,746","$68,950","$76,796",52.7%,0.704,0.672
BALTIMORE,1988Q1,"$149,587","$69,856","$79,731",53.3%,0.723,0.701
BALTIMORE,1988Q2,"$152,795","$70,638","$82,157",53.8%,0.738,0.725
BALTIMORE,1988Q3,"$156,412","$71,379","$85,033",54.4%,0.756,0.752
BALTIMORE,1988Q4,"$159,293","$72,064","$87,229",54.8%,0.769,0.774
BALTIMORE,1989Q1,"$162,941","$72,714","$90,227",55.4%,0.787,0.803
BALTIMORE,1989Q2,"$165,665","$73,324","$92,341",55.7%,0.800,0.824
BALTIMORE,1989Q3,"$167,444","$73,971","$93,473",55.8%,0.809,0.835
BALTIMORE,1989Q4,"$169,673","$74,715","$94,958",56.0%,0.820,0.850
BALTIMORE,1990Q1,"$172,327","$75,493","$96,835",56.2%,0.832,0.867
BALTIMORE,1990Q2,"$173,683","$76,465","$97,219",56.0%,0.839,0.872
BALTIMORE,1990Q3,"$174,627","$77,434","$97,193",55.7%,0.844,0.873
BALTIMORE,1990Q4,"$174,098","$78,299","$95,799",55.0%,0.841,0.862
BALTIMORE,1991Q1,"$173,585","$79,003","$94,582",54.5%,0.838,0.853
BALTIMORE,1991Q2,"$174,653","$79,569","$95,084",54.4%,0.844,0.859
BALTIMORE,1991Q3,"$174,776","$80,090","$94,686",54.2%,0.844,0.857
BALTIMORE,1991Q4,"$175,648","$80,649","$94,999",54.1%,0.848,0.862
BALTIMORE,1992Q1,"$177,963","$81,530","$96,433",54.2%,0.860,0.879
BALTIMORE,1992Q2,"$175,955","$82,166","$93,789",53.3%,0.850,0.856
BALTIMORE,1992Q3,"$176,719","$82,725","$93,994",53.2%,0.854,0.858
BALTIMORE,1992Q4,"$177,687","$83,151","$94,536",53.2%,0.858,0.863
BALTIMORE,1993Q1,"$176,052","$83,101","$92,952",52.8%,0.850,0.844
BALTIMORE,1993Q2,"$177,228","$83,319","$93,910",53.0%,0.856,0.852
BALTIMORE,1993Q3,"$177,156","$83,535","$93,621",52.8%,0.856,0.849
BALTIMORE,1993Q4,"$176,901","$83,779","$93,122",52.6%,0.855,0.845
BALTIMORE,1994Q1,"$177,850","$84,092","$93,759",52.7%,0.859,0.851
BALTIMORE,1994Q2,"$179,274","$84,494","$94,779",52.9%,0.866,0.861
BALTIMORE,1994Q3,"$179,598","$85,032","$94,566",52.7%,0.868,0.861
BALTIMORE,1994Q4,"$180,098","$85,744","$94,354",52.4%,0.870,0.860
BALTIMORE,1995Q1,"$180,390","$86,841","$93,549",51.9%,0.871,0.857
BALTIMORE,1995Q2,"$179,077","$87,815","$91,262",51.0%,0.865,0.837
BALTIMORE,1995Q3,"$179,417","$88,790","$90,627",50.5%,0.867,0.833
BALTIMORE,1995Q4,"$180,116","$89,695","$90,421",50.2%,0.870,0.832
BALTIMORE,1996Q1,"$180,090","$90,350","$89,741",49.8%,0.870,0.825
BALTIMORE,1996Q2,"$181,022","$91,051","$89,970",49.7%,0.874,0.828
BALTIMORE,1996Q3,"$181,596","$91,689","$89,908",49.5%,0.877,0.828
BALTIMORE,1996Q4,"$181,709","$92,273","$89,436",49.2%,0.878,0.825
BALTIMORE,1997Q1,"$182,534","$92,827","$89,707",49.1%,0.882,0.828
BALTIMORE,1997Q2,"$183,148","$93,372","$89,776",49.0%,0.885,0.830
BALTIMORE,1997Q3,"$182,617","$93,948","$88,669",48.6%,0.882,0.822
BALTIMORE,1997Q4,"$182,751","$94,595","$88,157",48.2%,0.883,0.818
BALTIMORE,1998Q1,"$184,372","$95,391","$88,980",48.3%,0.891,0.828
BALTIMORE,1998Q2,"$186,123","$96,149","$89,975",48.3%,0.899,0.839
BALTIMORE,1998Q3,"$187,155","$96,854","$90,301",48.2%,0.904,0.844
BALTIMORE,1998Q4,"$189,406","$97,440","$91,966",48.6%,0.915,0.861
BALTIMORE,1999Q1,"$192,109","$97,910","$94,198",49.0%,0.928,0.884
BALTIMORE,1999Q2,"$194,135","$98,252","$95,883",49.4%,0.938,0.901
BALTIMORE,1999Q3,"$197,983","$98,627","$99,356",50.2%,0.956,0.934
BALTIMORE,1999Q4,"$200,863","$99,152","$101,712",50.6%,0.970,0.957
BALTIMORE,2000Q1,"$203,867","$99,631","$104,236",51.1%,0.985,0.979
BALTIMORE,2000Q2,"$207,021","$100,679","$106,342",51.4%,1.000,1.000
BALTIMORE,2000Q3,"$210,129","$101,929","$108,200",51.5%,1.015,1.020
BALTIMORE,2000Q4,"$212,989","$103,292","$109,697",51.5%,1.029,1.037
BALTIMORE,2001Q1,"$217,832","$105,099","$112,733",51.8%,1.052,1.073
BALTIMORE,2001Q2,"$221,904","$106,397","$115,507",52.1%,1.072,1.103
BALTIMORE,2001Q3,"$226,515","$107,579","$118,936",52.5%,1.094,1.139
BALTIMORE,2001Q4,"$232,350","$108,648","$123,702",53.2%,1.122,1.187
BALTIMORE,2002Q1,"$237,955","$109,370","$128,586",54.0%,1.149,1.233
BALTIMORE,2002Q2,"$245,753","$110,246","$135,507",55.1%,1.187,1.301
BALTIMORE,2002Q3,"$253,482","$111,010","$142,472",56.2%,1.224,1.370
BALTIMORE,2002Q4,"$263,455","$111,622","$151,833",57.6%,1.273,1.463
BALTIMORE,2003Q1,"$272,306","$112,216","$160,090",58.8%,1.315,1.546
BALTIMORE,2003Q2,"$281,785","$112,823","$168,962",60.0%,1.361,1.634
BALTIMORE,2003Q3,"$292,820","$113,926","$178,894",61.1%,1.414,1.733
BALTIMORE,2003Q4,"$305,047","$115,897","$189,151",62.0%,1.474,1.834
BALTIMORE,2004Q1,"$316,301","$118,898","$197,403",62.4%,1.528,1.916
BALTIMORE,2004Q2,"$331,985","$122,699","$209,286",63.0%,1.604,2.033
BALTIMORE,2004Q3,"$347,469","$126,715","$220,755",63.5%,1.678,2.146
BALTIMORE,2004Q4,"$361,803","$130,415","$231,388",64.0%,1.748,2.252
BALTIMORE,2005Q1,"$378,758","$133,367","$245,391",64.8%,1.830,2.389
BALTIMORE,2005Q2,"$397,097","$135,791","$261,306",65.8%,1.918,2.546
BALTIMORE,2005Q3,"$414,329","$137,913","$276,416",66.7%,2.001,2.696
BALTIMORE,2005Q4,"$427,450","$139,995","$287,454",67.2%,2.065,2.806
BALTIMORE,2006Q1,"$435,738","$142,168","$293,570",67.4%,2.105,2.867
BALTIMORE,2006Q2,"$438,831","$144,448","$294,383",67.1%,2.120,2.878
BALTIMORE,2006Q3,"$437,601","$146,585","$291,016",66.5%,2.114,2.848
BALTIMORE,2006Q4,"$437,625","$148,393","$289,232",66.1%,2.114,2.833
BALTIMORE,2007Q1,"$441,989","$149,929","$292,060",66.1%,2.135,2.865
BALTIMORE,2007Q2,"$440,551","$151,152","$289,399",65.7%,2.128,2.842
BALTIMORE,2007Q3,"$434,681","$152,618","$282,063",64.9%,2.100,2.773
BALTIMORE,2007Q4,"$428,980","$154,749","$274,231",63.9%,2.072,2.698
BALTIMORE,2008Q1,"$420,785","$157,765","$263,020",62.5%,2.033,2.590
BALTIMORE,2008Q2,"$408,006","$161,193","$246,813",60.5%,1.971,2.431
BALTIMORE,2008Q3,"$399,127","$164,334","$234,793",58.8%,1.928,2.314
BALTIMORE,2008Q4,"$387,294","$166,497","$220,797",57.0%,1.871,2.177
BALTIMORE,2009Q1,"$376,888","$167,219","$209,669",55.6%,1.821,2.068
BALTIMORE,2009Q2,"$371,276","$166,919","$204,357",55.0%,1.793,2.016
BALTIMORE,2009Q3,"$370,257","$166,251","$204,006",55.1%,1.789,2.013
BALTIMORE,2009Q4,"$367,008","$165,866","$201,142",54.8%,1.773,1.985
BALTIMORE,2010Q1,"$364,157","$165,827","$198,330",54.5%,1.759,1.953
BALTIMORE,2010Q2,"$362,481","$167,119","$195,362",53.9%,1.751,1.925
BALTIMORE,2010Q3,"$353,501","$169,064","$184,437",52.2%,1.708,1.820
BALTIMORE,2010Q4,"$351,012","$171,449","$179,562",51.2%,1.696,1.776
BALTIMORE,2011Q1,"$347,237","$174,529","$172,708",49.7%,1.677,1.718
BALTIMORE,2011Q2,"$342,620","$176,990","$165,631",48.3%,1.655,1.652
BALTIMORE,2011Q3,"$340,912","$179,149","$161,763",47.5%,1.647,1.618
BALTIMORE,2011Q4,"$339,100","$180,839","$158,262",46.7%,1.638,1.586
BALTIMORE,2012Q1,"$338,087","$181,868","$156,220",46.2%,1.633,1.568
BALTIMORE,2012Q2,"$340,704","$182,665","$158,038",46.4%,1.646,1.589
BALTIMORE,2012Q3,"$344,667","$183,395","$161,272",46.8%,1.665,1.624
BALTIMORE,2012Q4,"$348,972","$184,315","$164,657",47.2%,1.686,1.661
BALTIMORE,2013Q1,"$354,450","$185,673","$168,777",47.6%,1.712,1.707
BALTIMORE,2013Q2,"$358,550","$187,154","$171,397",47.8%,1.732,1.735
BALTIMORE,2013Q3,"$362,222","$188,584","$173,637",47.9%,1.750,1.760
BALTIMORE,2013Q4,"$364,645","$189,725","$174,920",48.0%,1.761,1.775
BALTIMORE,2014Q1,"$366,519","$190,339","$176,181",48.1%,1.770,1.788
BALTIMORE,2014Q2,"$366,760","$190,764","$175,996",48.0%,1.772,1.788
BALTIMORE,2014Q3,"$365,414","$191,156","$174,258",47.7%,1.765,1.771
BALTIMORE,2014Q4,"$366,796","$191,751","$175,044",47.7%,1.772,1.780
BALTIMORE,2015Q1,"$367,649","$192,656","$174,993",47.6%,1.776,1.780
BALTIMORE,2015Q2,"$369,833","$193,939","$175,894",47.6%,1.786,1.791
BALTIMORE,2015Q3,"$371,099","$195,390","$175,710",47.3%,1.793,1.790
BALTIMORE,2015Q4,"$372,041","$196,864","$175,178",47.1%,1.797,1.786
BALTIMORE,2016Q1,"$375,164","$198,432","$176,732",47.1%,1.812,1.806
BALTIMORE,2016Q2,"$378,039","$199,611","$178,429",47.2%,1.826,1.824
BALTIMORE,2016Q3,"$380,970","$200,587","$180,382",47.3%,1.840,1.845
BALTIMORE,2016Q4,"$385,916","$201,359","$184,558",47.8%,1.864,1.888
BALTIMORE,2017Q1,"$389,298","$201,693","$187,605",48.2%,1.880,1.916
BALTIMORE,2017Q2,"$394,427","$202,182","$192,245",48.7%,1.905,1.963
BALTIMORE,2017Q3,"$401,436","$202,631","$198,805",49.5%,1.939,2.030
BALTIMORE,2017Q4,"$404,341","$203,076","$201,265",49.8%,1.953,2.055
BALTIMORE,2018Q1,"$411,429","$206,355","$205,074",49.8%,1.987,2.094
BALTIMORE,2018Q2,"$412,483","$209,826","$202,657",49.1%,1.992,2.071
BIRMINGHAM,1984Q4,"$73,357","$60,511","$12,846",17.5%,0.533,0.259
BIRMINGHAM,1985Q1,"$74,468","$60,901","$13,567",18.2%,0.541,0.274
BIRMINGHAM,1985Q2,"$75,930","$61,313","$14,617",19.3%,0.552,0.296
BIRMINGHAM,1985Q3,"$77,094","$61,719","$15,375",19.9%,0.560,0.312
BIRMINGHAM,1985Q4,"$77,959","$62,087","$15,872",20.4%,0.566,0.323
BIRMINGHAM,1986Q1,"$79,365","$62,400","$16,965",21.4%,0.577,0.346
BIRMINGHAM,1986Q2,"$80,411","$62,677","$17,733",22.1%,0.584,0.362
BIRMINGHAM,1986Q3,"$81,596","$62,952","$18,644",22.8%,0.593,0.382
BIRMINGHAM,1986Q4,"$82,955","$63,257","$19,698",23.7%,0.603,0.404
BIRMINGHAM,1987Q1,"$84,511","$63,615","$20,896",24.7%,0.614,0.429
BIRMINGHAM,1987Q2,"$85,137","$64,015","$21,121",24.8%,0.619,0.435
BIRMINGHAM,1987Q3,"$85,329","$64,438","$20,891",24.5%,0.620,0.431
BIRMINGHAM,1987Q4,"$85,477","$64,863","$20,615",24.1%,0.621,0.426
BIRMINGHAM,1988Q1,"$86,936","$65,275","$21,661",24.9%,0.632,0.448
BIRMINGHAM,1988Q2,"$88,069","$65,690","$22,379",25.4%,0.640,0.464
BIRMINGHAM,1988Q3,"$88,145","$66,114","$22,030",25.0%,0.641,0.457
